id,temperature,created_at,sound,light,dust,fan,motion
"'6748', ","'25.79',"," '2026-05-07  23:06:45',"," '10.82',"," '255',"," '0.0257',"," '0',", '0'
"'6749', ","'25.9', ","'2026-05-07  23:07:00', ","'9.98', '","255', '","0.0137', '","0', '",0'
"'6750', ","'26.07',"," '2026-05-07  23:07:15',"," '15.3', ","'255', ","'0.0173', ","'1', ",'0'
"'6751', ","'25.85',"," '2026-05-07  23:07:30',"," '17.47',"," '255',"," '0.0314',"," '0',", '0'
"'6752', ","'25.92',"," '2026-05-07  23:07:45',"," '18.73',"," '255',"," '0.0138',"," '0',", '0'
"'6753', ","'25.84',"," '2026-05-07  23:08:00',"," '16.58',"," '255',"," '0.023', ","'0', ",'0'
"'6754', ","'26.17',"," '2026-05-07  23:08:15',"," '14.76',"," '255',"," '0.0203',"," '1',", '1'
"'6755', ","'26.22',"," '2026-05-07  23:08:30',"," '16.56',"," '255',"," '0.0307',"," '1',", '1'
"'6756', ","'25.69',"," '2026-05-07  23:08:45',"," '108.8',"," '255',"," '0.0264',"," '0',", '0'
"'6757', ","'26.03',"," '2026-05-07  23:09:00',"," '11.56',"," '255',"," '0.0316',"," '1',", '0'
"'6758', ","'25.71',"," '2026-05-07  23:09:15',"," '13.14',"," '255',"," '0.0101',"," '0',", '0'
"'6759', ","'25.69',"," '2026-05-07  23:09:30',"," '9.27', ","'255', ","'0.0245', ","'0', ",'0'
"'6760', ","'26.02',"," '2026-05-07  23:09:45',"," '12.7', ","'255', ","'0.0084', ","'1', ",'0'
"'6761', ","'25.93',"," '2026-05-07  23:10:00',"," '17.37',"," '255',"," '0.0234',"," '0',", '0'
"'6762', ","'25.69',"," '2026-05-07  23:10:15',"," '11.02',"," '255',"," '0.0082',"," '0',", '1'
"'6763', ","'26.19',"," '2026-05-07  23:10:30',"," '14.91',"," '255',"," '0.0173',"," '1',", '1'
"'6764', ","'25.78',"," '2026-05-07  23:10:45',"," '9.6', '","255', '","0.0245', '","0', '",0'
"'6765', ","'26.11',"," '2026-05-07  23:11:00',"," '14.1', ","'255', ","'0.0103', ","'1', ",'1'
"'6766', ","'25.76',"," '2026-05-07  23:11:15',"," '13.27',"," '255',"," '0.0174',"," '0',", '1'
"'6767', ","'26.1', ","'2026-05-07  23:11:30', ","'17.26', ","'255', ","'0.0273', ","'1', ",'0'
"'6768', ","'25.66',"," '2026-05-07  23:11:45',"," '10.08',"," '255',"," '0.0171',"," '0',", '0'
"'6769', ","'26', '2","026-05-07 23 :12:00', '1","5.73', '2","55', '0",".0158', '1","', '0",'
"'6770', ","'25.76',"," '2026-05-07  23:12:15',"," '12.02',"," '255',"," '0.0091',"," '0',", '0'
"'6771', ","'26.02',"," '2026-05-07  23:12:30',"," '17.08',"," '255',"," '0.0103',"," '1',", '0'
"'6772', ","'25.59',"," '2026-05-07  23:12:45',"," '13.4', ","'255', ","'0.026', '","0', '",0'
"'6773', ","'25.85',"," '2026-05-07  23:13:00',"," '111.3',"," '255',"," '0.0129',"," '0',", '0'
"'6774', ","'25.8', ","'2026-05-07  23:13:15', ","'13.3', '","255', '","0.0084', '","0', '",0'
"'6775', ","'25.81',"," '2026-05-07  23:13:30',"," '15.17',"," '255',"," '0.0171',"," '0',", '0'
"'6776', ","'25.72',"," '2026-05-07  23:13:45',"," '15.44',"," '255',"," '0.0306',"," '0',", '0'
"'6777', ","'26.05',"," '2026-05-07  23:14:00',"," '9.44', ","'255', ","'0.0326', ","'1', ",'0'
"'6778', ","'25.59',"," '2026-05-07  23:14:15',"," '12.8', ","'255', ","'0.0183', ","'0', ",'0'
"'6779', ","'25.94',"," '2026-05-07  23:14:30',"," '10.57',"," '255',"," '0.0304',"," '0',", '0'
"'6780', ","'25.74',"," '2026-05-07  23:14:45',"," '12.93',"," '255',"," '0.0246',"," '0',", '0'
"'6781', ","'26.1', ","'2026-05-07  23:15:00', ","'13.56', ","'255', ","'0.0322', ","'1', ",'0'
"'6782', ","'25.87',"," '2026-05-07  23:15:15',"," '11.7', ","'255', ","'0.0306', ","'0', ",'0'
"'6783', ","'26.02',"," '2026-05-07  23:15:30',"," '16.22',"," '255',"," '0.0141',"," '1',", '1'
"'6784', ","'25.54',"," '2026-05-07  23:15:45',"," '17.93',"," '255',"," '0.0205',"," '0',", '0'
"'6785', ","'25.82',"," '2026-05-07  23:16:00',"," '14.28',"," '255',"," '0.0288',"," '0',", '0'
"'6786', ","'25.57',"," '2026-05-07  23:16:15',"," '14.69',"," '255',"," '0.0194',"," '0',", '0'
"'6787', ","'25.82',"," '2026-05-07  23:16:30',"," '9.45', ","'255', ","'0.0227', ","'0', ",'0'
"'6788', ","'25.96',"," '2026-05-07  23:16:45',"," '10.57',"," '255',"," '0.0206',"," '0',", '0'
"'6789', ","'25.92',"," '2026-05-07  23:17:00',"," '12.97',"," '255',"," '0.0147',"," '0',", '1'
"'6790', ","'26.07',"," '2026-05-07  23:17:15',"," '11.06',"," '255',"," '0.0155',"," '1',", '1'
"'6791', ","'25.81',"," '2026-05-07  23:17:30',"," '13.09',"," '255',"," '0.0263',"," '0',", '0'
"'6792', ","'26', '2","026-05-07 23 :17:45', '9",".93', '25","5', '0.","0152', '1'",", '1'",
"'6793', ","'26.07',"," '2026-05-07  23:18:00',"," '16.36',"," '255',"," '0.0145',"," '1',", '1'
"'6794', ","'25.69',"," '2026-05-07  23:18:15',"," '17.97',"," '255',"," '0.0101',"," '0',", '0'
